date,id,city,district,address,coordinates,travel_time,condition,new_building,price,condominium_fee,condominium_operation_fee,condominium_financial_fee,condominium_land_rent_fee,area,rooms,floor,top_floor,balcony,sauna,beach,building_year,apartments_in_building,lvi_upcoming,lvi_past
2023-03-02,70063685.0,2,112,"Kivenhakkaajankuja 3 A, 02650 Espoo","60.222933, 24.809138",25.0,3,0.0,229500.0,297.72,222.75,74.97,0.0,49.5,2.0,1.0,0.0,1,1,0,1995.0,63.0,1,1
2023-03-02,20989644.0,3,34,"Hiihtomäentie 36, 00800 Helsinki","60.203741, 25.032671",24.0,3,0.0,209000.0,452.3,241.5,210.8,0.0,34.5,1.0,1.0,0.0,0,0,0,1956.0,26.0,0,0
2023-03-02,21125550.0,3,251,"Laivurinkatu 7 A, 00150 Helsinki","60.155891, 24.942462",15.0,3,0.0,349000.0,528.88,321.2,207.68,0.0,44.0,2.0,1.0,0.0,0,0,0,1906.0,22.0,1,1
2023-03-02,67815.0,3,226,"Suvilahdenkatu 1 A, 00500 Helsinki","60.186996, 24.966805",16.0,2,0.0,255000.0,265.96,200.56,65.4,0.0,43.6,2.0,2.0,0.0,1,0,0,1961.0,,0,0
2023-03-02,70063245.0,2,236,"Jousenkaari 9 B, 02120 Espoo","60.175354, 24.788641",29.0,3,0.0,299000.0,343.84,184.2,116.66,0.0,52.0,2.0,4.0,0.0,1,0,0,1959.0,84.0,1,1
2023-03-02,21588310.0,3,55,"Harjutori 8 A, 00500 Helsinki","60.186826, 24.957753",17.0,2,0.0,359000.0,502.36,92.6,409.76,0.0,46.3,1.0,6.0,1.0,0,0,0,1925.0,85.0,0,0
2023-03-02,17180390.0,3,167,"Välitalontie 71, 00660 Helsinki","60.24606, 24.925914",38.0,3,1.0,314000.0,722.51,397.51,325.0,0.0,50.5,2.0,1.0,0.0,0,0,0,2023.0,,0,0
2023-03-02,17180368.0,3,167,"Välitalontie 71, 00660 Helsinki","60.24606, 24.925914",38.0,3,1.0,339000.0,766.49,413.41,353.08,0.0,52.5,2.0,2.0,0.0,0,0,0,2023.0,,0,0
2023-03-02,1339203.0,1,237,"Unikkotie 28, 01300 Vantaa","60.293097, 25.028379",30.0,3,0.0,176000.0,181.22,181.22,0.0,0.0,34.0,1.0,6.0,1.0,1,0,0,2007.0,39.0,0,0
2023-03-02,20482508.0,3,55,"Castréninkatu 12 B, 00530 Helsinki","60.184729, 24.945959",14.0,3,0.0,377000.0,595.49,305.5,289.99,0.0,57.0,2.0,4.0,0.0,1,0,0,1956.0,48.0,1,1
2023-03-02,20758740.0,3,255,"Teollisuuskatu 20 B, 00520 Helsinki","60.194977, 24.944465",20.0,3,0.0,370000.0,819.8,171.6,648.2,0.0,44.0,2.0,5.0,1.0,0,0,0,2015.0,63.0,0,0
2023-03-02,21871368.0,3,181,"Strömbergintie 8 F, 00380 Helsinki","60.220678, 24.864217",26.0,2,0.0,239000.0,165.3,165.3,0.0,0.0,47.5,2.0,2.0,0.0,1,0,0,2001.0,168.0,0,0
2023-03-02,17180268.0,1,149,"Korutie 2, 01600 Vantaa","60.258907, 24.857259",28.0,3,1.0,211058.4,262.8,120.0,142.8,0.0,30.0,2.0,5.0,0.0,1,0,0,2023.0,,0,0
2023-03-02,17180264.0,1,149,"Korutie 2, 01600 Vantaa","60.258907, 24.857259",28.0,3,1.0,298585.56,422.02,220.0,202.02,0.0,55.0,3.0,3.0,0.0,1,1,0,2023.0,,0,0
2023-03-02,17180261.0,1,149,"Korutie 2, 01600 Vantaa","60.258907, 24.857259",28.0,3,1.0,283066.56,364.72,196.0,168.72000000000003,0.0,49.0,3.0,6.0,0.0,1,0,0,2023.0,,0,0
2023-03-02,17180229.0,3,170,"Kollikatu 4 B, 00240 Helsinki","60.21999, 24.930411",26.0,3,1.0,282869.34,489.58,356.2,133.38,0.0,52.0,3.0,1.0,0.0,1,0,0,2023.0,,0,0
2023-03-02,1341527.0,1,22,"Kaskelantie 10 A 18, 01200 Vantaa","60.282625, 25.096429",37.0,5,1.0,242800.0,761.01,205.0,556.01,0.0,50.0,3.0,3.0,0.0,1,0,0,,46.0,0,0
2023-03-02,,2,13,"Segersveninkatu 8, 02770 Espoo","60.20432, 24.663066",36.0,3,1.0,174903.0,313.49,220.5,92.99,0.0,31.5,2.0,3.0,0.0,1,0,0,2023.0,,0,0
2023-03-02,,2,262,"Anna Sahlsténin katu 6, 02600 Espoo","60.212985, 24.827897",36.0,3,1.0,240005.0,549.15,386.75,162.4,0.0,45.5,2.0,8.0,1.0,1,1,0,2023.0,,0,0
2023-03-02,,2,69,"Nihtisillankuja 2, 02630 Espoo","60.208992, 24.758978",35.0,4,1.0,188353.0,375.92,244.55,131.37,0.0,33.5,2.0,4.0,0.0,1,0,0,2023.0,,0,0
2023-03-02,17180067.0,2,70,"Nihtisillankuja 2, 02630 Espoo","60.208992, 24.758978",35.0,4,1.0,282737.0,606.0,408.8,197.2,0.0,56.0,3.0,4.0,0.0,1,1,0,2023.0,,0,0
2023-03-02,20036232.0,2,236,"Tornitaso 1 A, 02120 Espoo","60.174856, 24.794927",28.0,2,0.0,259000.0,282.1,281.1,0.0,0.0,45.5,2.0,4.0,0.0,0,0,0,1961.0,50.0,1,0
2023-03-02,65270.0,2,268,"Viherkalliontie 1 B, 02710 Espoo","60.228396, 24.742969",43.0,3,0.0,169000.0,550.45,283.4,267.05,0.0,54.5,2.0,3.0,1.0,1,0,0,1972.0,,1,0
2023-03-02,,3,60,"Kaustisentie 9, 00420 Helsinki","60.240149, 24.87734",20.0,3,0.0,274000.0,242.5,242.5,0.0,0.0,48.5,2.0,6.0,1.0,1,1,0,2005.0,41.0,1,0
2023-03-02,21137610.0,3,228,"Mesenaatintie 4 A, 00350 Helsinki","60.208455, 24.85758",40.0,3,0.0,239000.0,396.75,379.5,17.25,0.0,54.0,2.0,2.0,0.0,1,0,0,1992.0,37.0,1,1
2023-03-02,20525938.0,3,145,"Ulvilantie 11 b, 00350 Helsinki","60.204957, 24.872794",35.0,2,0.0,268885.38,258.0,220.0,38.0,0.0,50.0,2.0,2.0,0.0,1,0,0,1959.0,148.0,1,1
2023-03-02,20551014.0,3,182,"Ida Ekmanin tie 2 G, 00400 Helsinki","60.22467, 24.894375",28.0,2,0.0,310000.0,361.95,324.9,37.05,0.0,56.0,3.0,2.0,0.0,1,0,0,1956.0,199.0,0,0
2023-03-02,20081820.0,3,255,"Sturenkatu 35 B, 00550 Helsinki","60.194991, 24.958432",20.0,3,0.0,229000.0,685.1,248.0,437.1,0.0,31.0,1.0,3.0,0.0,0,0,0,1929.0,37.0,1,1
2023-03-02,,3,4,"Porvoonkatu 17 A 9, 00510 Helsinki","60.190442, 24.94672",16.0,3,0.0,249000.0,347.7,149.45,198.25,0.0,30.5,1.0,2.0,0.0,0,0,0,1912.0,80.0,0,0
2023-03-02,20584281.0,2,46,"Isonjärventie 8-10 D, 02940 Espoo","60.242765, 24.715111",49.0,2,0.0,169000.0,235.2,235.2,0.0,0.0,42.0,2.0,1.0,1.0,1,0,0,1984.0,21.0,0,0
2023-03-02,17179820.0,1,259,"Piikkirinne 3, Vantaa, 01650 Vantaa","60.258136, 24.829202",37.0,3,1.0,239981.4,738.3,191.1,547.2,0.0,45.5,3.0,4.0,0.0,1,1,0,2024.0,,0,0
2023-03-02,17179819.0,1,259,"Piikkirinne 3, Vantaa, 01650 Vantaa","60.258136, 24.829202",37.0,3,1.0,179986.05,587.4,138.6,410.4,0.0,33.0,2.0,2.0,0.0,1,0,0,2024.0,,0,0
2023-03-02,20917996.0,2,209,"Saunalahdenkatu 6 C, 02330 Espoo","60.167596, 24.61844",49.0,3,0.0,234000.0,169.2,169.2,0.0,0.0,47.0,2.0,2.0,0.0,1,1,0,2016.0,47.0,0,0
2023-03-02,17041702.0,3,6,"Berliininkatu 9 A, 00560 Helsinki","60.203702, 24.974685",28.0,3,,340000.0,451.0,264.0,0.0,187.0,55.0,2.0,2.0,0.0,1,0,0,2015.0,,1,1
2023-03-02,10153010.0,3,59,"Kalevankatu 61 A, 00180 Helsinki","60.162722, 24.924452",14.0,2,0.0,308600.0,155.77,144.3,11.47,0.0,37.0,1.0,2.0,0.0,1,1,0,1986.0,126.0,1,0
2023-03-02,21883416.0,2,236,"Nallenpolku 4 E, 02110 Espoo","60.178621, 24.821458",27.0,,0.0,235000.0,243.0,157.95,85.05,0.0,45.7,2.0,2.0,0.0,1,0,0,1956.0,92.0,0,0
2023-03-02,,3,30,"Vellamonkatu 15 A 3, 00550 Helsinki","60.196119, 24.96636",20.0,3,0.0,279000.0,294.0,294.0,0.0,0.0,47.0,2.0,2.0,0.0,1,0,0,1958.0,44.0,0,0
2023-03-02,20790690.0,3,272,"Viikintie 5 A, 00560 Helsinki","60.217699, 24.984306",31.0,3,0.0,345000.0,231.0,231.0,0.0,0.0,55.0,2.0,5.0,0.0,1,1,0,2005.0,29.0,0,0
2023-03-02,1336933.0,3,147,"Neulapadontie 8, 00920 Helsinki","60.223372, 25.063757",33.0,3,0.0,169000.0,301.05,214.08,86.97,0.0,53.5,2.0,3.0,1.0,1,0,0,1965.0,82.0,0,1
2023-03-02,21447243.0,1,168,"Antaksentie 9 A, 01510 Vantaa","60.292963, 24.946995",46.0,3,0.0,198500.0,176.0,176.0,0.0,0.0,40.0,2.0,2.0,0.0,1,1,0,2011.0,52.0,0,0
2023-03-02,21839081.0,3,59,"Eerikinkatu 50 A, 00180 Helsinki","60.163656, 24.925857",16.0,3,0.0,369900.0,348.4,254.8,93.6,0.0,52.0,2.0,2.0,0.0,0,0,0,1926.0,51.0,0,1
2023-03-02,,2,90,"Komeetankuja 3 C 50, 02210 Espoo","60.167261, 24.733823",36.0,3,0.0,220000.0,269.5,269.5,0.0,0.0,55.0,3.0,7.0,1.0,1,0,0,1980.0,51.0,0,0
2023-03-02,1341939.0,3,30,"Hämeentie 101, 00550 Helsinki","60.198236, 24.962529",20.0,3,0.0,275000.0,404.32,304.0,100.32,0.0,40.3,1.0,6.0,1.0,1,0,0,1952.0,41.0,1,0
2023-03-02,17081530.0,2,26,"Kuhatie 8, 02170 Espoo","60.164848, 24.771621",29.0,3,,329000.0,433.57,280.5,153.07,0.0,55.0,3.0,1.0,0.0,1,0,0,1964.0,,0,0
2023-03-02,67436.0,1,62,"Hagelstamintie 20 B, 01520 Vantaa","60.281705, 24.960641",37.0,2,0.0,239000.0,202.0,202.0,0.0,0.0,50.5,2.0,3.0,0.0,1,1,0,2003.0,,0,0
2023-03-02,,3,33,"Niittaajankatu 6, 00810 Helsinki","60.19157, 25.027674",23.0,3,0.0,334000.0,327.45,327.45,0.0,0.0,55.5,2.0,5.0,0.0,1,1,0,2011.0,78.0,0,0
2023-03-02,21190964.0,3,227,"Nordenskiöldinkatu 6 A, 00250 Helsinki","60.186084, 24.91683",19.0,3,0.0,332000.0,638.18,246.0,328.0,0.0,41.0,2.0,2.0,0.0,0,0,0,1937.0,34.0,0,0
2023-03-02,21696165.0,3,191,"Klaavuntie 9 G, 00910 Helsinki","60.212058, 25.097046",27.0,3,0.0,205000.0,369.0,369.0,0.0,0.0,59.5,2.0,3.0,1.0,1,0,0,1961.0,69.0,0,0
2023-03-02,545848.0,3,15,"Isonnevantie 27 B, 00320 Helsinki","60.214031, 24.892983",24.0,2,0.0,265000.0,336.0,336.0,0.0,0.0,56.0,2.0,4.0,0.0,1,1,0,2001.0,33.0,0,0
2023-03-02,21199106.0,3,273,"Nuppukuja 3 B, 00790 Helsinki","60.226771, 25.030107",34.0,3,0.0,258000.0,350.88,311.1,39.78,0.0,51.0,2.0,1.0,0.0,0,0,0,2000.0,31.0,0,0
2023-03-02,,3,234,"Kotinummentie 28a ja 28b C 12, 00730 Helsinki","60.259967, 25.011759",33.0,5,1.0,236900.0,1337.1,286.0,1051.1,0.0,44.0,2.0,1.0,0.0,0,0,0,2022.0,,0,0
