Paivamaara,Kohdenumero,Kaupunki,Kaupunginosa,Osoite,Kunto,Asumistyyppi,Uudiskohde,Tontin_omistus,Vuokratontin_lunastusosuus,Velaton_hinta,Yhtiovastike,Hoitovastike,Rahoitusvastike,Tontin_vuokravastike,Asuinpinta_ala,Huoneita,Kerros,Korkein_kerros,Parveke,Sauna,Ranta,Rakennusvuosi,Energialuokka,Huoneistojen_lukumaara,Tulevat_remontit,Tehdyt_remontit,Latitude,Longitude,Coordinates,TravelTime
2023-03-02,70063685.0,Espoo,Leppävaara,"Kivenhakkaajankuja 3 A, 02650 Espoo",Hyvä,Omistus,Ei,Oma,,229500.0,297.72,222.75,74.97,,49.5,2.0,1.0,5.0,Kyllä,Kyllä,,1995.0,Energialuokka: E2007,63.0,Kunnossapitotarveselvityksen mukaan: Energiaselvitys 2022. IV-kanaviston nuohous 2022. Pienimuotoisia pihan parannustöitä 2022. Jätekatoksen ja pihakatoksen maalaus 2023. Salaoja urakan toteutussuunnittelu 2025. Salaojaurakka 2026. Autohallin sähkö infrastruktuurin muuttaminen sähköautoille sopiviksi 2021-2023. Yleisten tilojen vikavirtasuojauksien. Pysty- ja vaakaviemäreiden huuhtelu ja kuvaus. Asuntojen hajulukkojen tarkistus.,"Käyttövesiverkoston linjasäädöt 2006. Autohallioven uusiminen 2007. Kylpyhuoneiden kuntokartoitus 2007. Rakennusten julkisivujen ja parvekkeiden kunnostus 2008. Rakennuksen kuntoarvio 2009 (rakennustekniikka, LVI-järjestelmät, sähköjärjestelmät / Suomen Talokeskus Oy). Pihaurakka ja salaojien kunnostus 2010. Kylpyhuoneiden kuntokartoituksen päivitys 2010. Vesikattojen kunnostusta 2011. IV-kanavien nuohous ja säätö 2011. LVI-korjauksia 2012. Kaukolämpölaitteiden korjausta 2012. Kuivaushuoneiden kuivauskoneet 2012. Kylpyhuoneiden saneeraus 2014. Kylpyhuoneiden saneeraus, aloitus 8 2013, valmis 5 2014. Porrashuoneet ja yleiset tilat 2015 (orrashuoneiden ja yleisten tilojen pintojen kunnostus ja maalaus). Rakennusten kuntoarvio 2016 (rakennustekniikka, LVIAS-järjestelmät/ Raksystems Oy). Lukitusjärjestelmän uusiminen 2016. Jätekatosten kunnostus 2016. IV-järjestelmän kuntotarkastus, huolto ja säätäminen 2017. Alapohjan korjaus 2018. Lämmönjakokeskuksen uusiminen 2019. Lämmityksen perussäätö ja patteriventtiilien vaihto 2019. Autohallin valaistuksen uusiminen 2019. Elementtisaumauksien kunnon kartoittaminen 2020. Salaojakuvaukset 2020. VSS-painetesti 2020. Vesikaton kuntokartoitus 2020. Ensimmäisen kerroksen rappujen edessä olevien elementtiseinien maalaukset 2020. B ja C-rakennusten syöksyputkien korjaukset 2020. Jätekatoksien tuholaiseläinsuojien asentaminen 2020. Parkkiruutujen maalaukset 2020. Pelastussuunnitelman päivitys 2020. Salaojien tarkastuskaivojen nosto	ja kuvaus, B-rapun ed.oleva kiveys jatkettu 2020. Sisäpihan autohalliin johtavien portaiden ovien vaihto ja yleinen kunnostus 2020. Autohallin betonirakenteiden kuntokartoitus 2021. Sähköautojen latauspisteiden suunnittelu As Oy Kivihakun kanssa 2021. Julkisivusaumaus urakka 2021. Vesikaton korjaukset 2021.",60.222933,24.809138,"60.222933, 24.809138",25.0
2023-03-02,20989644.0,Helsinki,Herttoniemi,"Hiihtomäentie 36, 00800 Helsinki",Hyvä,Omistus,Ei,Vuokralla,,209000.0,452.3,241.5,210.8,,34.5,1.0,1.0,4.0,,,,1956.0,E2018,26.0,"2022 Normaali korjaus- ja huoltotoiminta, pihapuiden hoitoleikkauksia, painovoimaisen ilmanvaihdon parannusta ns. hyrrätekniikalla, 2023-2026 normaali korjaus- ja huoltotoiminta","Käyttötarkoituksen muutos liikehuoneisto->Asuinhuoneistoksi 2022.  TALOYHTIÖSSÄ: 1991 Tiilikatto uusittu, 1997 Kaukolämpölaittteet uusittu, 1999 Piha-alueen asfalttikorjausta, 2000 Parvekkeiden, ikkunoiden ja julkisivujen maalaus/peruskorjaus, 2001 Liikehuoneistoihin lisäpattereita, 2002 Jätekatos, 2003 Porrashuoneiden maalauskorjaus, 2005 Kellarin viemäri ja käyttövesiputkien runkolinjat uusittu + tonttiputket kaupungin liittymiin uusittu, 2006 Lukitus uusittu, 2010 Viemärit sukitettu, 2011-2012 Varsinainen putkisaneeraus= vesijohdot uusittiin ja kylpyhuoneet saneerattiin, lisäksi uusittiin sähkönousut sekä vedettiin uusia johtoja asuntoihin. 2014 Uusittiin asuinhuoneistojen ikkunat ja parvekeovet sekä liikehuoneiden ikkunat ja ovet takapihan puolelta, 2016 Liikehuoneistojen sisäänkäyntipuolen ikkunat ja ovet uusittu sekä porrashuoneiden sisäänkäynti ovet uusittu. Lisäksi yleisten tilojen lukitukset uusittu. 2018 Takapihan asfalttialueen peruskunnostus sekä kellareihin johtavien portaikkojen uusiminen. B-talon päädyn kunnostus. 2020-2021 kunnostettu liiketilan(r-kioski) lippaa sekä tiiliverhousta+ liiketilan edustan ajoluiskaa. Valaistusta led toimintoiseksi.",60.203741,25.032671,"60.203741, 25.032671",24.0
2023-03-02,21125550.0,Helsinki,Ullanlinna,"Laivurinkatu 7 A, 00150 Helsinki",Hyvä,Omistus,Ei,Oma,,349000.0,528.88,321.2,207.68,,44.0,2.0,1.0,3.0,,,,1906.0,G2013,22.0,"Ehdotetut korjaukset 2022-2027
Hallitus on selvittänyt sähköautojen latauspisteiden asentamista taloyhtiön parkkipaikoille. Selvityksen perusteella näyttää siltä, että vähintään viiden sähköpaikan (ARA:n minimivaatimus avustukselle) muodostuisi yhtiölle huomattavan kalliiksi.
-Porrashuoneiden kunnostus aloitettu 2021, valmistuu 2022.
-Maalämpöselvitys 2022
-Piharakennusten kunnostus 2022
Ehdotettujen korjausten toteuttamisesta päätetään aina erikseen yhtiökokouksessa ennen niiden toteuttamista.
Näiden ehdotettujen korjausten lisäksi tullaan tekemään kiinteistön ylläpidon vaatimia korjauksia.","TALOYHTIÖSSÄ: Putkiremontti 1965
Sähkökorjaustyöt 1994
Porraskäytävän kunnostu s1995
Julkisivusaneeraus 1997
Lämmitysputkiston linjasulut ja säätöventtiilit 2001
llmanvaihtohormien nuohous 2002
Tuuletusparvekkeiden ovet 2003
Laivurinkadun puoleiset ikkunat peruskorjattuja maalattu 2004
Uudet kattosillat 2005
Porrashuoneiden ulko-ovien maalaus 2009 -2010
Piha-alueen kunnostus 2009
Putki-ja viemärilinjojen kuntotutkimus 2009
Putki-ja viemärilinjojen hankesuunnittelu 2011
Julkisivurappaus ja maalaus 2013
Syöksytorvien ja vesikourujen saattolämmitys 2013
LVI-saneerauksen suunnittelu 2014 -2015
Linja-ja sulkuventtiilit (käyttövesi) 2016
Yleiskaapelointi 2016
LVI-saneeraus 2016
Viemärilinjojen painepesu 2016
Lämmönjakohuoneen laitteet 2016
Patteriventtiilit 2016
Rappukäytävän ikkunoiden lukitus/tiivistystyö 2017
Lukituksen muutos (Sento) 2017
Ulko-ovien ja tuulikaapin ovien kunnostus ja maalaus 2018
Vesikaton pinnoitus 2018
Porrashuoneen maalaus 2022
Varastotilojen valaistus 2022
",60.155891,24.942462,"60.155891, 24.942462",15.0
2023-03-02,67815.0,Helsinki,Sörnäinen,"Suvilahdenkatu 1 A, 00500 Helsinki",Tyydyttävä,Omistus,Ei,Oma,,255000.0,265.96,200.56,65.4,,43.6,2.0,2.0,8.0,Kyllä,Ei,,1961.0,"Energialuokka: F2013, Energiatodistuksen voimassaoloaika: 21.02.2026",,"Vesikaton pitkien sivujen painauma korjaukset 2021-22
Porrashuoneiden kunnostaminen 2023, arvioidaan tarve.","1983 Ikkunoiden uusiminen
1987 Julkisivukorjauksia
1993 Kattokorjauksia
1995 Päätyseinän korjaus
2003 kaukolämpökeskuksen uusiminen
2008 Sisäpihan korjaus ja jätekatos
2008 Saunaosaston uusiminen
2008 Pesutuvan uusiminen
2008 Putki- ja sähkösaneeraus, joka sisälsi vesi-ja viemärijohtojen, kylpyhuoneiden, sähköjärjestelmien, tele-ja
antennijärjestelmien, tonttiliittymän, ovipuhelinjärjestelmän, ilmanvaihtojärjestelmän uusimisen ja siihen
liittyvien vesikatto-osuuksien kunnostuksen vuosina 2007-2008
2009 Hissit ja lukitus
2013 Peltikaton kunnostus ja maalaus
2013 Lämpöjohtoverkoston patteri- ja linjaventtiilien uusiminen
2014-2015 Julkisivujen peruskorjaus
2016 Porras ala-aulojen lattialaatoituksen uusiminen
2016 Piharemontti
2018 Yhtiön saunan kunnostaminen
2019 IV-kanavien nuohous ja tasapainoitus
2022 Kaukolämpölaitteiden uusiminen",60.186996,24.966805,"60.186996, 24.966805",16.0
2023-03-02,70063245.0,Espoo,Tapiola,"Jousenkaari 9 B, 02120 Espoo",Hyvä,Omistus,Ei,Oma,,299000.0,343.84,184.2,116.66,,52.0,2.0,4.0,6.0,Kyllä,,,1959.0,Energialuokka: E2007,84.0,"Hallituksen selvitys kiinteistöjen kunnossapitotarpeesta seuraavan viiden vuoden aikana:
IV-kanavien puhdistus ja ilmanvaihdon tasapainoitus, julkisivusta puuttuvat viileäkaapin tuuletusritilät, huoneisto-ovien postiluukkujen uusiminen -22, julkisivun huoltomaalaus, hissien tekniikan uusiminen tarvittaessa -23-26.","Yläpohjan lisäeristys, parvekekorjaus -91, lämmönjakohuone, katto -93, betoniportaat, terassien puuosat, ikkunapuitteiden kunnostus -97, alajakokeskuksen uusiminen -99, LVI-kuntotutkimus -00, porrashuoneiden kunnostus -01, lukostojen uusinta -02, ikkunajulkisivu -03, piha-, asfaltti- ja pintavesien ohjaus -04, lämmityksen linja- ja patteriventtiilit -05, saunasaneeraus -06, päätyjen korjaus -06, antenniverkkoketju 800 -07, rakenteiden kuntoarvio -08, linjasaneerauksen hankesuunnittelu -07-08, IV-kanavien puhdistus -08, linjasaneerauksen toteutussuunnittelu, parvekekuntotutkimus -09, A-talon hissitekniikan korjaus -09, linjasaneeraus (vesi- ja viemäriputket uusittiin perinteisin menetelmin, sähkönousut ja -taulut sekä tietoliikenneyhteydet uusittiin) -10 , B-talon hissitekniikan korjaus, lukostojen korjaukset -11, pihakaiteiden asennus -12, parvekeremontin suunnittelun aloitus -12, parvekkeiden peruskorjaus -13, B-talon palovahingon korjaus -14, vesikattojen huoltomaalaus, B-talon ikkunapuitteiden ja ranskalaisten parvekeovien huoltomaalaus -15, taloyhtiön kaikkien lukkojen uudelleen sarjoitus, jätepaikan kunnostaminen, A-talon ikkunapuitteitten ja ranskalaisten parvekeovien huoltomaalaus -16, huoneistojen palovaroittimien pattereiden vaihto, salaojien, ulkoterassien ja sokkeleiden kuntotutkimus, saunan lauteiden uusiminen -17, ulkoportaiden luiskien selvitys, liikkumisen turvallisuuden parantaminen sisäänkäyntien yhteydessä, DNA Welhon taloyhtiölaajakaistasopimuksen uusiminen -18, sokkelien, tukimuurien kaiteiden, sadevesiviemäreiden, pihakansien ja salaojien uusimisen / kunnostuksen toteutussuunnittelun valmistuminen -19, maalämmön teknisten edellytysten selvitys -20, salaojien, sadevesijärjestelmän, betonikaiteiden, tukimuurien, pihakansien kylmien osien ja teräskaiteiden uusiminen sekä sokkelien ja A-talon lämmönjakohuoneen lämpimän tukimuurin kunnostaminen -20-21, lämmönjakokeskuksen uusiminen -21.",60.175354,24.788641,"60.175354, 24.788641",29.0
2023-03-02,21588310.0,Helsinki,Kallio,"Harjutori 8 A, 00500 Helsinki",Tyydyttävä,Omistus,Ei,Oma,,359000.0,502.36,92.6,409.76,,46.3,1.0,6.0,6.0,,,,1925.0,D2007,85.0,"2022 korvausilmaventtiilien uusimisen suunnittelu ja uusimisen kilpailutus (kustannusarvio 6000€),  2023 korvausilmaventtiilien uusiminen. 2020-2024 elinkaarikorjauksia. ","TALOYHTIÖSSÄ: 1962 putkistokorjauksia. 1985
kaukolämpölaitteisto. 1987 sähkönousut. 2000 tuuletusparvekkeet. 2002 vesikatto ja ullakko. 2006 ikkunat. 2006-2007 julkisivun kunnostus. 2011 märkätilojen kuntokartoitus. 2013 pesutuvan kunnostus ja pesukoneen hankinta. 2013 käyntiportit pihalle, linjasaneerauksen hankesuunnittelu, 
pihanpuoleisen A-rapun ulkoportaiden kunnostus. (uusi valu). 2014 linjasaneerauksen toteutussuunnittelu kellaritilojen uudelleenjärjestelyn suunnittelu. 2015 huoneistojen ja talon yleisten tilojen lukituksen uusiminen Sento-avaimille. 2016 linjasaneeraus= viemäri- ja käyttövesiputkiston uusiminen, sähkö- ja telejärjestelmän uusiminen, huoneistojen märkätilojen kunnostus/uusiminen, lämmönsiirtimen uusiminen (linjasaneerauksen yhteydessä), kellaritilojen ja liiketilan muuttaminen ravintolaksi sekä uudelleenjärjestelyt ja rakentaminen, lämpöjohtoverkoston perussäädöt ja tasapainotus (linjasann. yhteydessä). 2017 hissien peruskorjaus/ modernisointi, porrashuoneiden maalaus, jätepisteen kaiteet. 2018 sisäpihan kunnostus. 2021 räystäs- ja syksytorvilämmityksen asennus. 2021 porrashuoneiden mattojen uusiminen. 2021 LH 90-91 (pesula) ulko-ovien kunnostus. ",60.186826,24.957753,"60.186826, 24.957753",17.0
2023-03-02,17180390.0,Helsinki,Pakila,"Välitalontie 71, 00660 Helsinki",Hyvä,Omistus,Kyllä,Vuokralla,,314000.0,722.51,397.51,325.0,,50.5,2.0,1.0,3.0,,Ei,,2023.0,A2018,,,,60.24606,24.925914,"60.24606, 24.925914",38.0
2023-03-02,17180368.0,Helsinki,Pakila,"Välitalontie 71, 00660 Helsinki",Hyvä,Omistus,Kyllä,Vuokralla,,339000.0,766.49,413.41,353.08,,52.5,2.0,2.0,3.0,,Ei,,2023.0,A2018,,,,60.24606,24.925914,"60.24606, 24.925914",38.0
2023-03-02,1339203.0,Vantaa,Tikkurila,"Unikkotie 28, 01300 Vantaa",Hyvä,Omistus,Ei,Oma,,176000.0,181.22,181.22,,,34.0,1.0,6.0,6.0,Kyllä,Ei,,2007.0,E2013,39.0,"2022: En konditionsgranskning innefattar en okulär besiktning av fastigheten, utan att konstruktioner öppnas, samt fuktmätning med ytfuktmätare, vilket ger en uppfattning om fukt i konstruktioner. Även borrhålsmätningar kan utföras ifall misstanke om fukt i konstruktion föreligger. Det kommer också ett allt större renoveringsbehov då fastigheten blir äldre och är i behov av mera omfattande renoveringar samt ständigt underhåll. Efter granskningen erhålles en rapport med resultat från granskningen samt åtgärdsförslag.

FASAD: 2022-2023: Rengöring – målning av trädetaljer. Staket – Soprum

LÅSSYSTEM ILOG S5 2023-2024: 

2025-2026: Rengöring ventilationskanaler daghem & grupphem.","2015: Ventilation. Rengöring av ventilationskanaler. Grupphem vån 1 och 2 + Daghem.

2017: 10 års garantigranskning för bostadsbolaget. Garantigranskningen gäller endast grova byggfel, i bl.a. konstruktioner, som strider mot god byggsed.

2018: Rengöring av bostädernas ventilationskanaler bostäderna. Konditionsgranskning av byggnadens vattentak. Trygghetslarmet förnyades från Vivago till Everon.

2019: 10 års granskning av befolkningsskyddet.

2020: En fuktskada konstaterades i september i grupphemmet vån 1 rum 139. Orsaken till skadan var terrasstakets vattenisolering som befinner sig ovanpå rum 139.

2020 december: Rengöring ventilationskanaler daghem.

2021 januari: Rengöring av ventilationskanaler grupphem.",60.293097,25.028379,"60.293097, 25.028379",30.0
2023-03-02,20482508.0,Helsinki,Kallio,"Castréninkatu 12 B, 00530 Helsinki",Hyvä,Omistus,Ei,Oma,,377000.0,595.49,305.5,289.99,,57.0,2.0,4.0,8.0,Kyllä,,,1956.0,F2018,48.0,"Kunnossapitotarveselvitys 2022:
2022 Ulko-ovien kunnostus, normaalia huoltokorjauksia. 
2023 Talon vesikaton maalaus ja kirkkosalin vesikaton uusiminen, piha-aueen aitaamisen selvittäminen, normaalia huoltokorjauksia. 
2024 Normaalia huoltokorjauksia. 
2025 Normaalia huoltokorjauksia. 
2026 Normaalia huoltokorjauksia. 
","2021: pintaremontti, seinät ja katto maalattu, lattian uusiminen, parketin asennus, ovenkarmien ja ovien maalaus, lattialistojen uusiminen, keittiön välitilan laatoitus, led-valojen uusiminen ja pistorasian vaihto. Lattian materiaalin vaihdon yhteydessä tehty asbestikartoitus, jossa ei löytynyt asbestia.  TALOYHTIÖSSÄ: 1994 Ikkunat ja parvekkeiden ovet. 
1996 Lämmönsiirtimet. 
1998 Porrashuoneiden maalaustyöt.  
1999 Paineenkorotuspumppu. 
2001 Sähköpääkeskus. 
2005 Lukitukset. 
2006-2007 Julkisivujen korjaustyö, joka sisältää seinäkorjausten lisäksi vesikaton uusimisen, parvekelasit, pihojen kunnostuksen.  
2010 Hissien peruskorjaus / uusiminen.  
2011 Vesikaton maalaus.  
2014 Tontin osto.  
2014 LVIS - hankesuunnittelu. 
2015 Jätehuoneen ovien uusinta.  
2015 Viemärien huuhtelu. 
2015 Taloyhtiön huoneiston B29 pintaremontti. 
2017 Tonttiliittymän uusiminen.  
2017 Kaukolämpöpaketin uusiminen.  
2017 Lämmön perussäätö ja venttiilit. 
2020-2021 LVIS - Hanke. 
2020-2021 Talopesulan, kokoustilan, saunaosaston, ullakon ja porrashuoneiden kunnostus, sähköjohdotus ulko-oville. 
2021 Poistoilman lämmön talteenotto.  
2021 Lukitusten uusiminen. 
2021 Taloyhtiön omistamien B 27 ja B 29 huoneistojen kunnostaminen. ",60.184729,24.945959,"60.184729, 24.945959",14.0
